id,team,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD
71,Aston Villa,1.3703938,0.6881238000000001,1.3703938,0.6881238000000001,9.408118908382066,9.146490739110877,8.4,3.4,1.8,0.4,1.9643599999999999,0.8,0.2,0.0,2.6,0.6822699999999999
72,Everton,1.0451776000000002,2.1862914,1.0451776000000002,2.0340572,11.722755261979401,10.231626984126985,5.0,9.8,0.6,2.0,0.8037600000000001,0.0,0.4,0.6,0.4,-0.9888796
73,Bournemouth,1.2492801999999998,1.7344358,1.2492801999999998,1.7344358,10.982975263470617,10.794035376388319,6.4,7.8,1.0,1.6,1.1242,0.6,0.0,0.4,1.8,-0.48515559999999996
74,Southampton,0.679435,1.7422647999999998,0.679435,1.5900328,19.587791452259218,8.266998634998634,4.2,10.0,0.8,2.2,0.6432800000000001,0.0,0.2,0.8,0.2,-0.9105978
75,Leicester,1.6171424,1.445056,1.4649084,1.2928228,12.693212246302028,8.888087774294672,5.2,5.4,1.0,1.6,1.4563,0.2,0.2,0.6,0.8,0.1720856
78,Crystal Palace,1.3946142,0.692032,1.3946142,0.5397976,10.246158008658009,8.07797932135647,7.6,4.8,1.8,0.8,1.75702,0.6,0.2,0.2,2.0,0.8548166
80,Chelsea,1.4118255999999998,0.9571155999999998,1.4118255999999998,0.9571155999999998,10.870532212885156,11.504347158218126,12.2,5.4,0.2,1.4,1.7516599999999998,0.0,0.2,0.8,0.2,0.45470999999999995
81,West Ham,1.4979096,1.7388882000000003,1.3456756,1.5866542,16.760877192982456,6.254393790849673,4.2,10.0,1.8,1.8,1.25172,0.4,0.2,0.4,1.4,-0.24097859999999996
82,Tottenham,1.509468,1.891047,1.3572338,1.891047,12.108802308802307,11.770596623404353,5.6,9.2,1.6,2.6,1.28218,0.2,0.4,0.4,1.0,-0.5338132
83,Arsenal,2.0688144,2.1081978,1.7643463999999998,1.8037298,9.836928989139514,13.883186813186814,9.2,8.2,2.4,2.4,1.4598600000000002,0.2,0.6,0.2,1.2,-0.03938340000000014
86,Newcastle United,2.2276732000000004,1.2953318,2.2276732000000004,0.9908640000000002,8.156221992890725,11.327819865319864,9.4,5.6,3.4,1.4,1.8175199999999996,0.8,0.0,0.2,2.4,1.2368092000000002
87,Liverpool,2.5058093999999995,1.3113668,2.3535753999999995,1.3113668,5.886868705298497,23.92753742645383,12.6,5.0,2.6,1.2,2.0319399999999996,0.6,0.4,0.0,2.2,1.0422086
88,Manchester City,2.375904,0.6643524000000001,1.9192048,0.6643524000000001,9.077301587301587,27.27533539731682,9.6,3.4,3.2,0.8,2.43878,1.0,0.0,0.0,3.0,1.2548524
89,Manchester United,2.2333914,1.6702146,2.2333914,1.6702146,9.141357541667139,13.811764705882354,12.8,4.8,1.4,0.8,1.69194,0.6,0.2,0.2,2.0,0.5631767999999999
220,Brighton,2.5561239999999996,1.1855858,2.4038899999999996,0.8811192,7.720071428571427,14.5855900621118,12.0,6.0,1.8,1.8,2.23642,0.4,0.2,0.4,1.4,1.5227708
228,Fulham,0.8994314000000001,1.7059497999999997,0.8994314000000001,1.7059497999999997,9.016875314228255,12.761622807017543,5.0,6.0,1.2,1.2,0.8077799999999999,0.4,0.0,0.6,1.2,-0.8065184000000001
229,Wolverhampton Wanderers,0.7297124,1.3385204000000002,0.577478,1.1862864,9.103694581280788,12.468887717030132,3.8,6.6,1.4,0.6,0.9523399999999999,0.6,0.2,0.2,2.0,-0.6088084
244,Brentford,1.3900928000000001,1.19685,1.0856249999999998,1.19685,13.370306507218274,9.120199805068227,4.2,7.6,0.8,1.2,1.50294,0.2,0.2,0.6,0.8,-0.11122499999999998
245,Leeds,1.558396,2.0038234000000004,1.558396,2.0038234000000004,11.30404137998423,8.60250063938619,5.4,6.2,1.2,3.0,1.12398,0.2,0.2,0.6,0.8,-0.4454274
249,Nottingham Forest,1.012477,2.5710439999999997,0.7080104,2.5710439999999997,18.432008835154612,5.076757875079857,4.8,12.6,1.2,2.0,0.4817,0.2,0.0,0.8,0.6,-1.8630336
